name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Gorkha Talent League,,, Ghokla Jote,Matigara Ghokla Jote,siliguri,4.6,12 Ratings,"Entertainment Agencies, Event Management Companies For Corporate",26.728967,88.3823597,734010,9999PX353.X353.220813013504.D9G5,https://www.justdial.com/Siliguri/Gorkha-Talent-League-Ghokla-Jote/9999PX353-X353-220813013504-D9G5_BZDET,4.6,https://content.jdmagicbox.com/comp/siliguri/g5/9999px353.x353.220813013504.d9g5/catalogue/gorkha-talent-league-siliguri-entertainment-agencies-5p5n4h2gs3.jpg;https://content.jdmagicbox.com/comp/siliguri/g5/9999px353.x353.220813013504.d9g5/catalogue/gorkha-talent-league-siliguri-entertainment-agencies-7v9g1sbc2k.jpg;https://content.jdmagicbox.com/comp/siliguri/g5/9999px353.x353.220813013504.d9g5/catalogue/gorkha-talent-league-siliguri-entertainment-agencies-9xuf6yavde.jpg;https://content.jdmagicbox.com/comp/siliguri/g5/9999px353.x353.220813013504.d9g5/catalogue/gorkha-talent-league-siliguri-entertainment-agencies-tx3kxw0hi1.jpg;https://content.jdmagicbox.com/comp/siliguri/g5/9999px353.x353.220813013504.d9g5/catalogue/gorkha-talent-league-siliguri-entertainment-agencies-iwyhzpku2l.jpg,,
Kidz Zone Family Fun Centre,,, Matigarahat,Uttorayon Twp Matigarahat,Siliguri,4.1,6 Ratings,Entertainment Agencies,26.724221,88.3953491,734010,9999PX353.X353.180701064010.L8P4,https://www.justdial.com/Siliguri/Kidz-Zone-Family-Fun-Centre-Matigarahat/9999PX353-X353-180701064010-L8P4_BZDET,4.1,https://content.jdmagicbox.com/comp/def_content/event_organisers/default-event-organisers-6.jpg,,
Hasnuhana Studios,,, Raikatpara,Raikatpara,Jalpaiguri,4.5,10 Ratings,Entertainment Agencies,26.5342738,88.7232655,735101,9999P3561.3561.190522150956.N5T5,https://www.justdial.com/Jalpaiguri/Hasnuhana-Studios-Raikatpara/9999P3561-3561-190522150956-N5T5_BZDET,4.5,https://content.jdmagicbox.com/comp/jalpaiguri/t5/9999p3561.3561.190522150956.n5t5/catalogue/hasnuhana-studios-jalpaiguri-entertainment-agencies-mppnjtvnw8.jpg;https://content.jdmagicbox.com/v2/comp/jalpaiguri/t5/9999p3561.3561.190522150956.n5t5/catalogue/hasnuhana-studios-raikatpara-jalpaiguri-entertainment-agencies-81mdvhlgtl.jpg;https://content.jdmagicbox.com/comp/jalpaiguri/t5/9999p3561.3561.190522150956.n5t5/catalogue/hasnuhana-studios-jalpaiguri-entertainment-agencies-ljhn4reuuk.jpg;https://content.jdmagicbox.com/v2/comp/jalpaiguri/t5/9999p3561.3561.190522150956.n5t5/catalogue/hasnuhana-studios-raikatpara-jalpaiguri-entertainment-agencies-cnor88stdn.jpg;https://content.jdmagicbox.com/v2/comp/jalpaiguri/t5/9999p3561.3561.190522150956.n5t5/catalogue/hasnuhana-studios-raikatpara-jalpaiguri-entertainment-agencies-rlr6r9m6av.jpg,,
River Side Camping and Rafting,,,Near SBI Office Bankim Park,Ringkingpong Road Bankim Park,Kalimpong,5,1 Rating,Entertainment Agencies,27.0593562,88.4694535,734301,9999P3552.3552.190117170912.M6W9,https://www.justdial.com/Kalimpong/River-Side-Camping-and-Rafting-Near-Sbi-Office-Bankim-Park/9999P3552-3552-190117170912-M6W9_BZDET,5,https://content.jdmagicbox.com/comp/kalimpong/w9/9999p3552.3552.190117170912.m6w9/catalogue/river-side-camping-and-rafting-kalimpong-entertainment-agencies-ycw6g80apx.jpg,,
Rongli Flix,,,Rongli Dalapchand,Dalapchand,gangtok,4.6,6 Ratings,Entertainment Agencies,27.20345,88.7005589,737131,9999P3592.3592.240119031955.A5Z9,https://www.justdial.com/Gangtok/Rongli-Flix-Rongli-Dalapchand/9999P3592-3592-240119031955-A5Z9_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/gangtok/z9/9999p3592.3592.240119031955.a5z9/catalogue/rongli-flix-gangtok-entertainment-agencies-y3xevo8pal.jpg;https://content.jdmagicbox.com/v2/comp/gangtok/z9/9999p3592.3592.240119031955.a5z9/catalogue/rongli-flix-gangtok-entertainment-agencies-ee4ziyxf7a.jpg;https://content.jdmagicbox.com/v2/comp/gangtok/z9/9999p3592.3592.240119031955.a5z9/catalogue/rongli-flix-gangtok-entertainment-agencies-ee4ziyxf7a-250.jpg,,
Moris Talent Hunt,,, Tadong,Syari Road Tadong,gangtok,5,10 Ratings,Entertainment Agencies,27.330567037994,88.764715639547,737102,9999P3592.3592.260113173122.Q8V5,https://www.justdial.com/Gangtok/Moris-Talent-Hunt-Tadong/9999P3592-3592-260113173122-Q8V5_BZDET,5,https://content.jdmagicbox.com/comp/def_content/entertainment-agencies/4b0538d07a-entertainment-agencies-1-g0c1l.jpg,,
Jalsaghar Video And Audio Recording Studio,,, Badur Bagan,Bs Road Badur Bagan,cooch behar,4.7,17 Ratings,"Photographers, Video Editing Services",26.3302038,89.4462408,736101,9999P3582.3582.191120042236.N8B6,https://www.justdial.com/Cooch-Behar/Jalsaghar-Video-And-Audio-Recording-Studio-Badur-Bagan/9999P3582-3582-191120042236-N8B6_BZDET,4.7,https://content.jdmagicbox.com/comp/cooch-behar/b6/9999p3582.3582.191120042236.n8b6/catalogue/jalsaghar-video-and-audio-recording-studio-cooch-behar-recording-studios-34bjse10f8.jpg;https://content.jdmagicbox.com/comp/cooch-behar/b6/9999p3582.3582.191120042236.n8b6/catalogue/jalsaghar-video-and-audio-recording-studio-cooch-behar-recording-studios-iezewkmds7.jpg;https://content.jdmagicbox.com/v2/comp/cooch-behar/b6/9999p3582.3582.191120042236.n8b6/catalogue/jalsaghar-video-and-audio-recording-studio-cooch-behar-recording-studios-xfbzq552ey.jpg;https://content.jdmagicbox.com/v2/comp/cooch-behar/b6/9999p3582.3582.191120042236.n8b6/catalogue/jalsaghar-video-and-audio-recording-studio-cooch-behar-recording-studios-3rls25jtuo.jpg;https://content.jdmagicbox.com/v2/comp/cooch-behar/b6/9999p3582.3582.191120042236.n8b6/catalogue/jalsaghar-video-and-audio-recording-studio-cooch-behar-recording-studios-6gzvpnl1qi.jpg,,
Bharti Music Entertainment,,, Amhara,Hospital Road Amhara,Araria,4,2 Ratings,Entertainment Agencies,26.3025105,87.2600511,854318,9999P6453.6453.190522083216.E8G8,https://www.justdial.com/Forbesganj/Bharti-Music-Entertainment-Amhara/9999P6453-6453-190522083216-E8G8_BZDET,4,https://content.jdmagicbox.com/comp/def_content/event_organisers/default-event-organisers-4.jpg,,
Brothers Photography Sanjib Barman,,, Uttar Kamakhyaguri,Santi Nagar Uttar Kamakhyaguri,alipurduar,4,2 Ratings,Entertainment Agencies,26.4737097,89.7250837,736202,9999P3561.3561.180531155722.P1I7,https://www.justdial.com/Alipurduar/Brothers-Photography-Sanjib-Barman-Uttar-Kamakhyaguri/9999P3561-3561-180531155722-P1I7_BZDET,4,https://content.jdmagicbox.com/comp/def_content/event_organisers/default-event-organisers-9.jpg,,
Shiv Shakti Putul Nach,,, Dakhin Rampur,Sarodapally Vyara Dakhin Rampur Dakhin Rampur,alipurduar,4,2 Ratings,Entertainment Agencies,26.4697555,89.8121342,736207,9999P3561.3561.231019115134.G3C1,https://www.justdial.com/Alipurduar/Shiv-Shakti-Putul-Nach-Dakhin-Rampur/9999P3561-3561-231019115134-G3C1_BZDET,4,https://content.jdmagicbox.com/v2/comp/alipurduar/c1/9999p3561.3561.231019115134.g3c1/catalogue/shiv-shakti-putul-nach-dakhin-rampur-alipurduar-entertainment-agencies-fiju497ve6.jpg;https://content.jdmagicbox.com/v2/comp/alipurduar/c1/9999p3561.3561.231019115134.g3c1/catalogue/shiv-shakti-putul-nach-dakhin-rampur-alipurduar-entertainment-agencies-of04v5vo3j.jpg;https://content.jdmagicbox.com/v2/comp/alipurduar/c1/9999p3561.3561.231019115134.g3c1/catalogue/shiv-shakti-putul-nach-dakhin-rampur-alipurduar-entertainment-agencies-of04v5vo3j-250.jpg,,
